2026-04-22 18:24:40,SUV,Blue,Fast,Southbound on University
2026-04-22 18:25:04,SUV,White,Moderate,Southbound on University
2026-04-22 18:25:27,SUV,White,Fast,Southbound on University
2026-04-22 18:26:05,SUV,Black,Moderate,Southbound on University
2026-04-22 18:26:09,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:26:30,SUV,Black,Slow,Southbound on University
2026-04-22 18:27:29,SUV,White,Slow,Southbound on University
2026-04-22 18:27:43,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:28:04,Sedan,Black,Moderate,Northbound on University
2026-04-22 18:28:08,Sedan,White,Moderate,Southbound on University
2026-04-22 18:28:23,Sedan,Red,Moderate,Northbound on University
2026-04-22 18:29:02,Truck,White,Moderate,Northbound on University
2026-04-22 18:29:11,Sedan,Gray,Moderate,Northbound on University
2026-04-22 18:29:18,Sedan,Blue,Slow,Southbound on University
2026-04-22 18:29:50,Sedan,Blue,Moderate,Northbound on University
2026-04-22 18:30:03,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:30:10,SUV,Black,Slow,Southbound on University
2026-04-22 18:30:25,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:30:30,Sedan,Gray,Slow,Southbound on University
2026-04-22 18:30:43,SUV,Gray,Moderate,Northbound on University
2026-04-22 18:30:46,SUV,Gray,Moderate,Northbound on University
2026-04-22 18:31:32,SUV,White,Fast,Southbound on University
2026-04-22 18:31:39,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:32:01,Truck,Black,Moderate,Southbound on University
2026-04-22 18:32:18,Sedan,Red,Slow,Southbound on University
2026-04-22 18:32:34,SUV,Gray,Moderate,Northbound on University
2026-04-22 18:32:41,Sedan,Black,Moderate,Southbound on University
2026-04-22 18:33:14,Sedan,Black,Moderate,Northbound on University
2026-04-22 18:33:29,SUV,Other,Moderate,Southbound on University
2026-04-22 18:33:40,Sedan,Gray,Moderate,Northbound on University
2026-04-22 18:34:03,Sedan,Gray,Moderate,Northbound on University
2026-04-22 18:34:08,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:34:57,SUV,Black,Moderate,Northbound on University
2026-04-22 18:35:00,SUV,White,Moderate,Northbound on University
2026-04-22 18:35:07,SUV,Black,Moderate,Southbound on University
2026-04-22 18:35:34,Sedan,Gray,Moderate,Southbound on University
2026-04-22 18:35:41,SUV,White,Moderate,Southbound on University
2026-04-22 18:35:54,Other,White,Moderate,Southbound on University
2026-04-22 18:36:40,Sedan,Gray,Moderate,Southbound on University
2026-04-22 18:36:49,SUV,Black,Moderate,Southbound on University
2026-04-22 18:37:03,SUV,Black,Slow,Southbound on University
2026-04-22 18:37:37,Sedan,Gray,Slow,Southbound on University
2026-04-22 18:37:49,Truck,Black,Moderate,Southbound on University
2026-04-22 18:38:00,Sedan,Red,Moderate,Southbound on University
2026-04-22 18:38:05,Sedan,Blue,Moderate,Southbound on University
2026-04-22 18:38:12,SUV,Black,Moderate,Northbound on University
2026-04-22 18:39:15,Truck,Gray,Slow,Southbound on University
2026-04-22 18:39:21,Truck,Gray,Moderate,Southbound on University
2026-04-22 18:40:05,Truck,Gray,Moderate,Southbound on University
2026-04-22 18:40:10,SUV,White,Moderate,Southbound on University
2026-04-22 18:40:21,SUV,Black,Moderate,Northbound on University
2026-04-22 18:40:26,Sedan,Red,Moderate,Northbound on University
2026-04-22 18:40:34,Truck,Gray,Moderate,Northbound on University
2026-04-22 18:41:17,Truck,Gray,Moderate,Southbound on University
2026-04-22 18:41:24,SUV,White,Moderate,Southbound on University
2026-04-22 18:41:34,Other,White,Slow,Southbound on University
2026-04-22 18:41:45,Sedan,White,Moderate,Northbound on University
2026-04-22 18:41:56,Sedan,Blue,Slow,Northbound on University
2026-04-22 18:42:13,Sedan,Blue,Moderate,Northbound on University
2026-04-22 18:42:30,SUV,Black,Moderate,Southbound on University
2026-04-22 18:42:37,Sedan,Gray,Moderate,Northbound on University
2026-04-22 18:42:43,SUV,Gray,Moderate,Northbound on University
2026-04-22 18:42:53,SUV,Other,Slow,Northbound on University
2026-04-22 18:43:12,Truck,White,Slow,Southbound on University
2026-04-22 18:43:20,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:43:27,Truck,Black,Slow,Southbound on University
2026-04-22 18:43:40,SUV,Other,Moderate,Northbound on University
2026-04-22 18:43:45,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:43:51,SUV,Black,Moderate,Southbound on University
2026-04-22 18:44:50,Motorcycle,Black,Slow,Southbound on University
2026-04-22 18:44:51,Motorcycle,Black,Slow,Southbound on University
2026-04-22 18:44:56,Motorcycle,Red,Slow,Southbound on University
2026-04-22 18:45:23,Other,Black,Moderate,Northbound on University
2026-04-22 18:45:27,Sedan,White,Moderate,Northbound on University
2026-04-22 18:45:41,Truck,Gray,Fast,Southbound on University
2026-04-22 18:46:08,Truck,Black,Moderate,Northbound on University
2026-04-22 18:46:13,Truck,White,Moderate,Northbound on University
2026-04-22 18:46:20,Other,Black,Moderate,Northbound on University
2026-04-22 18:46:28,SUV,Gray,Moderate,Northbound on University
2026-04-22 18:46:37,Other,White,Moderate,Northbound on University
2026-04-22 18:46:45,Truck,Black,Slow,Northbound on University
2026-04-22 18:47:07,Sedan,Black,Moderate,Northbound on University
2026-04-22 18:47:20,Other,Gray,Moderate,Northbound on University
2026-04-22 18:47:27,SUV,White,Moderate,Southbound on University
2026-04-22 18:47:32,SUV,Black,Moderate,Northbound on University
2026-04-22 18:48:10,SUV,White,Moderate,Southbound on University
2026-04-22 18:48:17,SUV,Gray,Slow,Northbound on University
2026-04-22 18:48:32,SUV,Black,Fast,Northbound on University
2026-04-22 18:48:39,Truck,Black,Fast,Southbound on University
2026-04-22 18:49:00,SUV,Gray,Fast,Southbound on University
2026-04-22 18:49:07,Sedan,Red,Moderate,Southbound on University
2026-04-22 18:49:14,Truck,Black,Moderate,Southbound on University
2026-04-22 18:49:32,SUV,White,Slow,Southbound on University
2026-04-22 18:50:20,SUV,Other,Moderate,Northbound on University
2026-04-22 18:50:28,Sedan,Black,Moderate,Southbound on University
2026-04-22 18:50:34,SUV,Black,Moderate,Southbound on University
2026-04-22 18:50:48,SUV,Gray,Moderate,Northbound on University
2026-04-22 18:50:49,SUV,Gray,Moderate,Northbound on University
2026-04-22 18:50:54,SUV,Black,Moderate,Northbound on University
2026-04-22 18:51:00,Sedan,Gray,Moderate,Northbound on University
2026-04-22 18:51:49,Sedan,Blue,Slow,Northbound on University
2026-04-22 18:51:56,Sedan,Red,Moderate,Northbound on University
2026-04-22 18:52:04,Sedan,Blue,Moderate,Northbound on University
2026-04-22 18:52:15,Truck,Gray,Moderate,Southbound on University
2026-04-22 18:52:21,Truck,Gray,Moderate,Northbound on University
2026-04-22 18:52:40,Truck,Red,Slow,Northbound on University
2026-04-22 18:52:50,SUV,Black,Moderate,Southbound on University
2026-04-22 18:52:56,SUV,Gray,Moderate,Southbound on University
2026-04-22 18:53:02,Sedan,Gray,Moderate,Southbound on University
2026-04-22 18:53:06,Truck,Gray,Moderate,Southbound on University
2026-04-22 18:53:32,SUV,Black,Moderate,Southbound on University
2026-04-22 18:53:39,SUV,Black,Slow,Southbound on University
2026-04-22 18:53:47,Other,White,Moderate,Northbound on University
2026-04-22 18:53:57,SUV,Gray,Moderate,Northbound on University
2026-04-22 18:54:01,SUV,Black,Moderate,Northbound on University
2026-04-28 19:29:49,Motorcycle,Black,Fast,Southbound on University
2026-04-28 19:29:57,Sedan,Blue,Slow,Northbound on University
